id,nombre,ambito_gobierno,poder_gobierno,sistema3,entidad_nombre
1,TRIBUNAL DE JUSTICIA ADMINISTRATIVA DEL ESTADO,Estatal,Autonomo,true,Aguascalientes
2,CONTRALORIA DEL ESTADO,Estatal,Ejecutivo,true,Aguascalientes
3,CONTRALORIA INTERNA DE LA COMISION DE DERECHOS HUMANOS DEL ESTADO DE AGUASCALIENTES,Estatal,Autonomo,true,Aguascalientes
4,CONTRALORIA INTERNA DEL H. CONGRESO DEL ESTADO DE AGUASCALIENTES,Estatal,Legislativo,true,Aguascalientes
5,CONTRALORIA INTERNA DEL PODER JUDICIAL DEL ESTADO DE AGUASCALIENTES,Estatal,Judicial,true,Aguascalientes
6,INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES PARA LOS SERVIDORES PUBLICOS DEL ESTADO DE AGUASCALIENTES,Estatal,Ejecutivo,true,Aguascalientes
7,ESCUELA NORMAL DE AGUASCALIENTES,Estatal,Ejecutivo,true,Aguascalientes
8,PROCURADURIA ESTATAL DE PROTECCION AL MEDIO AMBIENTE,Estatal,Ejecutivo,true,Aguascalientes
9,SECRETARIA EJECUTIVA DEL SISTEMA ESTATAL ANTICORRUPCION,Estatal,Ejecutivo,true,Aguascalientes
10,RADIO Y TELEVISION DE AGUASCALIENTES,Estatal,Ejecutivo,false,Aguascalientes
11,BURÓ DE CONGRESOS Y VISITANTES DE AGUASCALIENTES,Estatal,Ejecutivo,false,Aguascalientes
12,CENTRO DE CONCILIACION LABORAL DEL ESTADO DE AGUASCALIENTES,Estatal,Ejecutivo,true,Aguascalientes
13,COLEGIO DE EDUCACION PROFESIONAL TECNICA DEL ESTADO DE AGUASCALIENTES,Estatal,Ejecutivo,false,Aguascalientes
14,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE AGUASCALIENTES,Estatal,Ejecutivo,false,Aguascalientes
15,FIDEICOMISO COMPLEJO TRES CENTURIAS,Estatal,Ejecutivo,false,Aguascalientes
16,FIDEICOMISO DE DESARROLLOS INDUSTRIALES DE AGUASCALIENTES,Estatal,Ejecutivo,true,Aguascalientes
17,FIDEICOMISO DE INVERSION Y ADMINISTRACION PARA EL DESARROLLO ECONOMICO DEL ESTADO DE AGUASCALIENTES,Estatal,Ejecutivo,true,Aguascalientes
18,INSTITUTO AGUASCALENTENSE DE LAS MUJERES,Estatal,Ejecutivo,true,Aguascalientes
19,INSTITUTO AGUASCALENTENSE DE LAS PERSONAS ADULTAS MAYORES,Estatal,Ejecutivo,false,Aguascalientes
20,INSTITUTO AGUASCALENTENSE DE LAS PERSONAS MIGRANTES,Estatal,Ejecutivo,false,Aguascalientes
21,INSTITUTO DE ASESORIA Y DEFENSORIA DEL ESTADO DE AGUASCALIENTES,Estatal,Ejecutivo,true,Aguascalientes
22,INSTITUTO DE ATENCIÓN INTEGRAL DE ENFERMEDADES RENALES DEL ESTADO DE AGUASCALIENTES,Estatal,Ejecutivo,false,Aguascalientes
23,INSTITUTO DE CAPACITACION PARA EL TRABAJO DEL ESTADO DE AGUASCALIENTES,Estatal,Ejecutivo,true,Aguascalientes
24,INSTITUTO DE CIENCIA Y TECNOLOGIA DEL ESTADO DE AGUASCALIENTES,Estatal,Ejecutivo,false,Aguascalientes
25,INSTITUTO DE EDUCACION DE AGUASCALIENTES,Estatal,Ejecutivo,true,Aguascalientes
26,INSTITUTO DE INFRAESTRUCTURA EDUCATIVA DEL ESTADO DE AGUASCALIENTES,Estatal,Ejecutivo,true,Aguascalientes
27,INSTITUTO DE LA JUVENTUD,Estatal,Ejecutivo,true,Aguascalientes
28,INSTITUTO DE SERVICIOS DE SALUD DEL ESTADO DE AGUASCALIENTES,Estatal,Ejecutivo,true,Aguascalientes
29,INSTITUTO DE TRANSPARENCIA DEL ESTADO DE AGUASCALIENTES,Estatal,Autonomo,true,Aguascalientes
30,INSTITUTO DE VIVIENDA SOCIAL Y ORDENAMIENTO DE LA PROPIEDAD DEL ESTADO DE AGUASCALIENTES,Estatal,Ejecutivo,true,Aguascalientes
31,INSTITUTO DEL AGUA DEL ESTADO,Estatal,Ejecutivo,true,Aguascalientes
32,INSTITUTO DEL DEPORTE,Estatal,Ejecutivo,false,Aguascalientes
33,INSTITUTO ESTATAL ELECTORAL DE AGUASCALIENTES,Estatal,Autonomo,true,Aguascalientes
34,INSTITUTO PARA LA EDUCACION DE LAS PERSONAS JOVENES Y ADULTAS DEL ESTADO DE AGUASCALIENTES,Estatal,Ejecutivo,true,Aguascalientes
35,MODELO INTEGRAL DE AGUAS DE AGUASCALIENTES,Estatal,Ejecutivo,true,Aguascalientes
36,SISTEMA DE FINANCIAMIENTO DEL ESTADO DE AGUASCALIENTES,Estatal,Ejecutivo,true,Aguascalientes
37,SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA,Estatal,Ejecutivo,true,Aguascalientes
38,TRIBUNAL ELECTORAL DEL ESTADO DE AGUASCALIENTES,Estatal,Autonomo,true,Aguascalientes
39,INTITUTO CULTURAL DE AGUASCALIENTES,Estatal,Ejecutivo,true,Aguascalientes
40,Y VIGILANCIA DE LA FISCALIA GENERAL DEL ESTADO DE AGUASCALIENTES,Estatal,Autonomo,true,Aguascalientes
41,COMISION DE ARBITRAJE MEDICO,Estatal,Ejecutivo,true,Aguascalientes
42,ORGANO INTERNO DE CONTROL DE LA UNIVERSIDAD TECNOLOGICA METROPOLITANA,Estatal,Ejecutivo,false,Aguascalientes
43,MUNICIPIO DE AGUASCALIENTES,Municipal,Municipal,,Aguascalientes
44,MUNICIPIO DE ASIENTOS,Municipal,Municipal,,Aguascalientes
45,MUNICIPIO DE CALVILLO,Municipal,Municipal,,Aguascalientes
46,MUNICIPIO DE COSíO,Municipal,Municipal,,Aguascalientes
47,MUNICIPIO DE JESúS MARíA,Municipal,Municipal,,Aguascalientes
48,MUNICIPIO DE PABELLóN DE ARTEAGA,Municipal,Municipal,,Aguascalientes
49,MUNICIPIO DE RINCóN DE ROMOS,Municipal,Municipal,,Aguascalientes
50,MUNICIPIO DE SAN JOSé DE GRACIA,Municipal,Municipal,,Aguascalientes
51,MUNICIPIO DE TEPEZALá,Municipal,Municipal,,Aguascalientes
52,MUNICIPIO DE PALO ALTO,Municipal,Municipal,,Aguascalientes
53,MUNICIPIO DE SAN FRANCISCO DE LOS ROMO,Municipal,Municipal,,Aguascalientes
54,AUDITORIA SUPERIOR DEL ESTADO,Estatal,Legislativo,false,Baja California
55,TRIBUNAL ESTATAL DE JUSTICIA ADMINISTRATIVA DE BAJA CALIFORNIA,Estatal,Autonomo,false,Baja California
56,CONTRALORÍA CONSEJO DE LA JUDICATURA DEL ESTADO DE BAJA CALIFORNIA,Estatal,Judicial,false,Baja California
57,CONTRALORÍA INTERNA DEL CONGRESO DE BAJA CALIFORNIA,Estatal,Legislativo,false,Baja California
58,ADMINISTRADORA DE LA VÍA CORTA TIJUANA TECATE,Estatal,Ejecutivo,false,Baja California
59,COLEGIO DE BACHILLERES DEL ESTADO DE BAJA CALIFORNIA,Estatal,Ejecutivo,false,Baja California
60,COLEGIO DE ESTUDIOS CIENTÍFICOS Y TECNOLÓGICOS DEL ESTADO DE BAJA CALIFORNIA,Estatal,Ejecutivo,false,Baja California
61,COMISIÓN ESTATAL DE ENERGÍA DE BAJA CALIFORNIA,Estatal,Ejecutivo,false,Baja California
62,COMISIÓN ESTATAL DE SERVICIOS PÊBLICOS DE ENSENADA,Estatal,Ejecutivo,false,Baja California
63,COMISIÓN ESTATAL DE SERVICIOS PÊBLICOS DE MEXICALI,Estatal,Ejecutivo,false,Baja California
64,COMISIÓN ESTATAL DE SERVICIOS PÊBLICOS DE TECATE,Estatal,Ejecutivo,false,Baja California
65,COMISIÓN ESTATAL DE SERVICIOS PÊBLICOS DE TIJUANA,Estatal,Ejecutivo,false,Baja California
66,COMISIÓN ESTATAL DEL AGUA DEL ESTADO DE BAJA CALIFORNIA,Estatal,Ejecutivo,false,Baja California
67,COMISIÓN ESTATAL DEL SISTEMA PENITENCIARIO,Estatal,Ejecutivo,false,Baja California
68,COMITÉ DE PLANEACIÓN PARA EL DESARROLLO DEL ESTADO,Estatal,Ejecutivo,false,Baja California
69,CONSEJERÍA JURÍDICA,Estatal,Ejecutivo,false,Baja California
70,FIDEICOMISO PÊBLICO DE ADMINISTRACIÓN DE FONDOS E INVERSIÓN DEL TRAMO CARRETERO CENTINELA RUMOROSA,Estatal,Ejecutivo,false,Baja California
71,INSTITUTO DE CULTURA DE BAJA CALIFORNIA,Estatal,Ejecutivo,false,Baja California
72,INSTITUTO DE LA INFRAESTRUCTURA FÍSICA EDUCATIVA DE BAJA CALIFORNIA,Estatal,Ejecutivo,false,Baja California
73,INSTITUTO DE LA JUVENTUD DE BAJA CALIFORNIA,Estatal,Ejecutivo,false,Baja California
74,INSTITUTO DE LA MUJER PARA EL ESTADO DE BAJA CALIFORNIA,Estatal,Ejecutivo,false,Baja California
75,INSTITUTO DE PSIQUIATRÍA DEL ESTADO DE BAJA CALIFORNIA,Estatal,Ejecutivo,false,Baja California
76,INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL GOBIERNO Y MUNICIPIOS DE BAJA CALIFORNIA,Estatal,Ejecutivo,false,Baja California
77,INSTITUTO DE SERVICIOS DE SALUD PÊBLICA DEL ESTADO DE BAJA CALIFORNIA,Estatal,Ejecutivo,false,Baja California
78,INSTITUTO DE SERVICIOS EDUCATIVOS Y PEDAGÓGICOS DE BAJA CALIFORNIA,Estatal,Ejecutivo,false,Baja California
79,INSTITUTO DEL DEPORTE Y LA CULTURA FÍSICA DE BAJA CALIFORNIA,Estatal,Ejecutivo,false,Baja California
80,INSTITUTO PARA EL DESARROLLO INMOBILIARIO Y DE LA VIVIENDA PARA EL ESTADO DE BAJA CALIFORNIA,Estatal,Ejecutivo,false,Baja California
